"","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbol","entrez"
"ENSG00000253368",1040.17649034906,1.97323555153125,0.114939104825055,1.27107995608776e-67,9.14872509193729e-65,"TRNP1","388610"
"ENSG00000163661",8565.70116426611,2.24463978292871,0.13183604758852,6.38229171160771e-67,4.41703680994881e-64,"PTX3","5806"
"ENSG00000162616",1467.63582703992,1.50998103075875,0.0881861161316698,7.74650966611339e-67,5.16261833081646e-64,"DNAJB4","11080"
"ENSG00000148175",11193.718773887,1.44368322691227,0.0846082532392418,4.7069679943887e-66,3.02489936039394e-63,"STOM","2040"
"ENSG00000124766",1281.46865801595,-2.39484604894738,0.14199065638329,8.87957189118559e-66,5.50962126241357e-63,"SOX4","6659"
"ENSG00000197381",1969.04835631005,2.30998385728612,0.136774381550608,1.54343476700788e-65,9.25752173251326e-63,"ADARB1","104"
"ENSG00000172403",8014.7816508389,1.73205254566054,0.103794587409609,5.54827219041208e-64,3.22050354175081e-61,"SYNPO2","171024"
"ENSG00000116285",3232.63543712134,2.40780997727712,0.145655802992149,2.26079022771889e-63,1.27127060492418e-60,"ERRFI1","54206"
"ENSG00000163083",418.921476555884,3.42472524528132,0.210836287278484,2.54300836382487e-61,1.38663310602014e-58,"INHBB","3625"
"ENSG00000166741",7432.9363516342,2.17140250761073,0.135653862976625,1.69561364846758e-59,8.97378587956637e-57,"NNMT","4837"
"ENSG00000070404",2128.11402480981,1.8026978354017,0.11397352275414,1.03360256156734e-57,5.3138984265265e-55,"FSTL3","10272"
"ENSG00000105989",333.214688163837,-3.01760661897494,0.19219675399929,6.8684077211426e-57,3.43305912595111e-54,"WNT2","7472"
"ENSG00000122035",943.340574231144,2.27175305348481,0.145881740252549,3.15423035183454e-56,1.53397894461921e-53,"RASL11A","387496"
"ENSG00000119139",5029.85142077092,1.91272868846667,0.123125685202845,4.8632632565083e-56,2.30288313256869e-53,"TJP2","9414"
"ENSG00000136478",3701.52859767166,1.45539997751649,0.0935140184885149,8.25882261336428e-56,3.81049369499684e-53,"TEX2","55852"
"ENSG00000196569",17178.4260430908,2.01328089002101,0.133921583597124,7.3616882713899e-53,3.31165546888475e-50,"LAMA2","3908"
"ENSG00000108821",100990.694351515,-1.29801511839727,0.0857472349583042,1.27230586888863e-52,5.58387117189805e-50,"COL1A1","1277"
"ENSG00000221866",847.493946021912,2.72196017186166,0.183999098256704,8.98292592802535e-52,3.84854212259257e-49,"PLXNA4","91584"
"ENSG00000100242",2236.2383212374,1.84424681151368,0.123778362876543,1.20262431973071e-51,5.03256325796149e-49,"SUN2","25777"
"ENSG00000145685",2018.16368824202,-1.23130817117767,0.0822560172632653,1.31905100051271e-51,5.3943190234604e-49,"LHFPL2","10184"
"ENSG00000134686",2737.98198594824,1.3763225653498,0.0922045406003949,1.40673056689688e-51,5.62504662683168e-49,"PHC2","1912"
"ENSG00000172986",756.366829107728,-1.55825760359672,0.104658741108624,2.06907799536777e-51,8.09369335840166e-49,"GXYLT2","727936"
"ENSG00000102804",5397.33684521952,1.19257772966043,0.080109794401535,3.64946587084736e-51,1.39720189106441e-48,"TSC22D1","8848"
"ENSG00000060718",363.762294004358,2.40632929827888,0.162859209768733,6.35458115501491e-51,2.38217361048621e-48,"COL11A1","1301"
"ENSG00000099337",530.060485021926,2.69506435667858,0.183095358332524,7.90012449152279e-51,2.90111918572369e-48,"KCNK6","9424"
"ENSG00000126803",449.17684817333,2.43557611861213,0.165643662249507,1.5055144531901e-50,5.41804541414053e-48,"HSPA2","3306"
"ENSG00000157150",167.615505683076,2.9198238281541,0.198117453039616,2.12411217173441e-50,7.49436753297823e-48,"TIMP4","7079"
"ENSG00000133142",3055.97384805426,1.52575210531881,0.104166943203039,7.12697282169538e-50,2.4662067106459e-47,"TCEAL4","79921"
"ENSG00000138316",799.568584106461,-2.4851265664015,0.171336212314434,9.33975154234873e-50,3.170933759491e-47,"ADAMTS14","140766"
"ENSG00000103196",3082.06913512982,2.60720343376457,0.182762274997288,1.41599302184104e-48,4.7184034138903e-46,"CRISPLD2","83716"
"ENSG00000131389",740.410803126942,-2.10418808473016,0.146498388677005,1.78032715475895e-48,5.82458305867866e-46,"SLC6A6","6533"
"ENSG00000152268",1597.83892249109,1.8959081224623,0.132115051297481,3.03455530561e-48,9.75067645877613e-46,NA,NA
"ENSG00000168309",159.526919764023,4.79159277604905,0.332415220028538,3.8304489035079e-48,1.20921223806528e-45,"FAM107A","11170"
"ENSG00000163171",1357.57154103081,1.49237737381642,0.10378968933181,4.10709355117578e-48,1.2741903682734e-45,"CDC42EP3","10602"
"ENSG00000124440",197.043622803841,2.50665574920715,0.174864404712928,9.45967604491813e-48,2.88504086020774e-45,"HIF3A","64344"
"ENSG00000141401",627.527233035192,2.30428125847652,0.162296120736758,1.86900463837983e-47,5.6051449105011e-45,"IMPA2","3613"
"ENSG00000103742",370.82982255279,-2.17718122053182,0.153077494823678,2.77238681913177e-47,8.17808662679623e-45,"IGDCC4","57722"
"ENSG00000112837",2754.96812806571,-1.81669943692412,0.128395858629632,5.27116643946036e-47,1.52982853083306e-44,"TBX18","9096"
"ENSG00000164647",1920.71012986285,1.55286478094736,0.110007185382137,1.44747026538197e-46,4.13425078655289e-44,"STEAP1","26872"
"ENSG00000068383",1247.24185187194,1.36966802135572,0.0974192241870246,5.79810557972543e-46,1.63017362189968e-43,"INPP5A","3632"
"ENSG00000156675",1631.87785808313,1.53305287945656,0.11006775834671,2.24189260094331e-45,6.20624853251907e-43,"RAB11FIP1","80223"
"ENSG00000136999",435.712716722131,-2.52575311365533,0.184828282349372,2.50867532052302e-44,6.83956116931686e-42,"CCN3","4856"
"ENSG00000206538",12754.9476812811,1.35415180926076,0.0985139925125108,3.30689942853384e-44,8.88124601746835e-42,"VGLL3","389136"
"ENSG00000227051",4615.74006753287,-1.14076039353915,0.0830797024461933,5.62374294637353e-44,1.48814162613302e-41,"C14orf132","56967"
"ENSG00000134363",2906.3410530882,-1.78865744235826,0.131964587697273,1.91876048019212e-43,5.00379363486622e-41,"FST","10468"
"ENSG00000196517",229.640742740425,-2.20658972804755,0.162220587932201,1.98051624209951e-43,5.09105846576266e-41,"SLC6A9","6536"
"ENSG00000124762",8020.52881680403,-0.999990657270835,0.0733341295209197,3.10765142432069e-43,7.87592672242626e-41,"CDKN1A","1026"
"ENSG00000149218",2027.18573134681,1.90637409494099,0.141651376728389,6.25748342168612e-43,1.56384939846972e-40,"ENDOD1","23052"
"ENSG00000109906",385.071028862516,7.27319181989965,0.543825012899376,9.14198752722763e-43,2.25343730910868e-40,"ZBTB16","7704"
"ENSG00000185432",3885.6492404017,2.22695128455528,0.166688333569615,1.25130303175563e-42,3.04269550721768e-40,"METTL7A","25840"
"ENSG00000163378",1805.28931002148,1.24975579997048,0.0928330703102137,1.99603448467109e-42,4.78888593562288e-40,"EOGT","285203"
"ENSG00000167641",231.671616289766,2.86599013793496,0.215241999371849,2.81917041182826e-42,6.67475689347864e-40,"PPP1R14A","94274"
"ENSG00000196975",4908.8181516426,1.1739117719094,0.0875497991516507,4.24429861624977e-42,9.91842977932445e-40,"ANXA4","307"
"ENSG00000106484",677.213238740759,-1.84399683585037,0.138288465652155,5.72607857727864e-42,1.3209622810199e-39,"MEST","4232"
"ENSG00000126016",386.415162103212,-2.34843536930343,0.177012302625308,7.52368014186299e-42,1.71368481610991e-39,"AMOT","154796"
"ENSG00000151726",1460.17800298032,1.58351030644426,0.119120677975162,9.49654889901274e-42,2.13601126111044e-39,"ACSL1","2180"
"ENSG00000150907",678.868174958036,2.20354815379732,0.1666741711867,1.34747384201657e-41,2.99338818682052e-39,"FOXO1","2308"
"ENSG00000130513",451.004765299293,-1.84857968181286,0.139505818246472,1.92847879220619e-41,4.23183504719003e-39,"GDF15","9518"
"ENSG00000221869",1963.57429862035,1.48565152382589,0.111974827115401,1.98533657270887e-41,4.30411401076187e-39,"CEBPD","1052"
"ENSG00000169715",554.194641254197,2.20076688795039,0.168781507657038,1.29789248605343e-40,2.78027111833874e-38,"MT1E","4493"
"ENSG00000147027",12593.3295910107,1.15248119070335,0.0877160534580003,1.43633495076016e-40,3.04063660046804e-38,"TMEM47","83604"
"ENSG00000145390",8442.05371962528,2.12298429121312,0.163862584107454,2.20793157993526e-40,4.61971172666919e-38,"USP53","54532"
"ENSG00000185950",1974.88307917017,2.10165024256228,0.162168613529657,3.13538973497798e-40,6.48485090703376e-38,"IRS2","8660"
"ENSG00000013293",244.497326184804,-2.84874060006658,0.220820505742142,9.41315435720516e-40,1.92477613072215e-37,"SLC7A14","57709"
"ENSG00000131831",1017.17597249954,1.41344550972077,0.109196178855004,1.99073782143733e-39,4.02486925381385e-37,"RAI2","10742"
"ENSG00000146122",1942.41443351691,1.66287094876892,0.130074287606505,7.07265973319966e-39,1.41406043599105e-36,"DAAM2","23500"
"ENSG00000137672",655.449436784439,1.93131713149392,0.151396380339913,8.39922516244016e-39,1.66083140190053e-36,"TRPC6","7225"
"ENSG00000020577",3105.00555637675,1.19116315507517,0.0929122740687593,1.03649956094099e-38,2.02725794560566e-36,"SAMD4A","23034"
"ENSG00000119138",1683.2682077277,2.0586983481393,0.162712048832295,1.6766925314139e-38,3.24412961400664e-36,"KLF9","687"
"ENSG00000138735",6850.26951693182,-1.16595916973223,0.0913713586270415,1.93892932072884e-38,3.71160576565902e-36,"PDE5A","8654"
"ENSG00000163110",1314.18432532042,1.58782938885636,0.124888568220204,2.18937628730054e-38,4.14690914880905e-36,"PDLIM5","10611"
"ENSG00000071282",3659.86884296353,1.58706759098633,0.125769711816624,5.99693264065034e-38,1.1240500618319e-35,"LMCD1","29995"
"ENSG00000101825",4767.14944686345,-1.30685217615566,0.103838446275853,1.14576052698867e-37,2.12544483738497e-35,"MXRA5","25878"
"ENSG00000162407",25853.6620173955,-0.991248221679565,0.0785640104802623,1.72343200355965e-37,3.16443219102575e-35,"PLPP3","8613"
"ENSG00000163513",13216.6476019075,1.4405213217145,0.115659951645025,4.80852294327787e-37,8.73985473144868e-35,"TGFBR2","7048"
"ENSG00000246430",2162.53881470905,2.03173297325509,0.163711531475442,5.5898026843434e-37,1.00582909502075e-34,"LINC00968","100507632"
"ENSG00000163431",4934.73010201059,1.14944867385903,0.0921886512441694,7.13867769999266e-37,1.27181551023434e-34,"LMOD1","25802"
"ENSG00000046653",1090.45825722703,2.36607328352954,0.193081399909937,2.01120882836347e-36,3.54800898603649e-34,"GPM6B","2824"
"ENSG00000106617",1018.35298653981,1.59849070285879,0.129683123614627,3.11401773303876e-36,5.44015874643683e-34,"PRKAG2","51422"
"ENSG00000099998",506.244766658562,2.35171929561639,0.192497212467029,4.09744933643104e-36,7.06787400025136e-34,"GGT5","2687"
"ENSG00000137809",1115.80003263854,-1.69985736247753,0.138475503014033,4.1243012672357e-36,7.06787400025136e-34,"ITGA11","22801"
"ENSG00000115457",1919.14850283236,2.18505272720847,0.183503626345482,9.74207215525885e-35,1.65376270152573e-32,"IGFBP2","3485"
"ENSG00000160200",834.066631033772,1.23400024360384,0.102723970784444,5.0646951987315e-34,8.51720798186679e-32,"CBS","875"
"ENSG00000174306",3234.85251306157,1.117657309382,0.0937400760004951,7.42685461938212e-34,1.23739650019594e-31,"ZHX3","23051"
"ENSG00000128923",1415.67842643882,1.0260429356533,0.0860435995287704,8.6050803390224e-34,1.42054876715935e-31,"MINDY2","54629"
"ENSG00000123562",5040.48267766273,1.01529289984874,0.0852689759891367,9.29947172519105e-34,1.52122449293716e-31,"MORF4L2","9643"
"ENSG00000214814",243.276976467197,-3.01792707974423,0.255767307291496,9.76644618644537e-34,1.58322011422431e-31,"FER1L6","654463"
"ENSG00000125868",15848.9769017164,0.910786629283339,0.0761123529385579,1.16956680729779e-33,1.87903438665325e-31,"DSTN","11034"
"ENSG00000162772",373.51179517354,1.89313341543056,0.160366815857052,1.55955478086373e-33,2.48341847140371e-31,"ATF3","467"
"ENSG00000164125",5596.34966690866,1.11149322209706,0.0939886345487843,2.29990582108164e-33,3.63021976706518e-31,"GASK1B","51313"
"ENSG00000119508",216.673741809452,2.0441832198429,0.174105401049886,2.93178812587243e-33,4.58735613364769e-31,"NR4A3","8013"
"ENSG00000173918",992.659399454996,1.23751758643539,0.104977726894779,3.32876294113282e-33,5.16360003127103e-31,"C1QTNF1","114897"
"ENSG00000109861",4058.013382052,1.0045486697277,0.0853645822698705,4.2002745990069e-33,6.45980693457523e-31,"CTSC","1075"
"ENSG00000114098",1010.29346134236,1.32970005049002,0.113254375433237,5.23540244272537e-33,7.98354504698307e-31,"ARMC8","25852"
"ENSG00000145777",152.372544224853,-2.74349933919225,0.234978546235613,7.02265855640109e-33,1.06189679045278e-30,"TSLP","85480"
"ENSG00000077684",1570.63461014914,1.18407406969263,0.101395207963067,1.09692025672497e-32,1.64483192495909e-30,"JADE1","79960"
"ENSG00000139289",1975.8673223812,-0.98013859853279,0.0836862534274081,1.12963477299106e-32,1.67988827315713e-30,"PHLDA1","22822"
"ENSG00000114270",1546.90699729354,1.21808279324674,0.104438192585104,1.42725045424459e-32,2.10507743226861e-30,"COL7A1","1294"
"ENSG00000103485",865.205449337359,-1.19614463437252,0.102972933628754,2.62126666891906e-32,3.83472133662842e-30,"QPRT","23475"
"ENSG00000164442",7510.52587168029,1.52425886811906,0.133235657353177,5.56079845088123e-32,8.06943607460943e-30,"CITED2","10370"
"ENSG00000138829",15701.2752863824,1.89235520810304,0.165938617409747,5.89204828368175e-32,8.48172134532555e-30,"FBN2","2201"
"ENSG00000155130",5654.05696431278,-1.17698305622981,0.101943451650946,6.0534381215744e-32,8.64488615552458e-30,NA,NA
"ENSG00000110756",995.251537070175,1.55495251159537,0.135725426725728,9.63806929378779e-32,1.36557022734187e-29,"HPS5","11234"
"ENSG00000144369",1303.27274542406,-1.3296187132907,0.116138486270441,1.43430484361058e-31,2.01631885593194e-29,"FAM171B","165215"
"ENSG00000143320",1492.12556609689,-1.61380465843167,0.141815947494412,1.79650903782143e-31,2.50592121136115e-29,"CRABP2","1382"
"ENSG00000181467",630.874185291974,-1.25532104809393,0.110612313004944,6.00661702405808e-31,8.31408205622316e-29,"RAP2B","5912"
"ENSG00000196507",988.842685681754,1.04206465924913,0.0923881598382832,1.7285460449956e-30,2.37430973539319e-28,"TCEAL3","85012"
"ENSG00000008256",3716.57738197619,1.16728552898776,0.103922798014789,2.00766498995757e-30,2.73681241131034e-28,"CYTH3","9265"
"ENSG00000116584",2250.59694884394,-1.00214936192677,0.0896884007598864,4.97515722236752e-30,6.7310510570888e-28,"ARHGEF2","9181"
"ENSG00000140545",9199.62673062643,1.09898772824306,0.0988158569977958,1.1330489444281e-29,1.52149870940591e-27,"MFGE8","4240"
"ENSG00000154864",153.23479367767,-2.52663708360473,0.232910654733668,6.94725114058805e-29,9.25991385361047e-27,"PIEZO2","63895"
"ENSG00000072958",2129.43443527067,1.07069331677338,0.098241278168767,1.04096557302793e-28,1.37728930301945e-26,"AP1M1","8907"
"ENSG00000146592",669.401293086846,-2.01289454902032,0.187596182226898,1.1161217870482e-28,1.46594857198141e-26,"CREB5","9586"
"ENSG00000177283",115.085170511591,2.44854752347099,0.226354047533819,1.28992737491695e-28,1.68195312929389e-26,"FZD8","8325"
"ENSG00000205978",1601.04659220405,-1.13868132692604,0.105553539694191,2.66252680482833e-28,3.44672714576122e-26,"NYNRIN","57523"
"ENSG00000136546",4991.26837107808,1.34756935043556,0.125525469623515,3.56873843472085e-28,4.58684852816907e-26,"SCN7A","6332"
"ENSG00000243244",996.175141904114,1.39049166739355,0.129489217602674,3.75674453421644e-28,4.79424547153835e-26,"STON1","11037"
"ENSG00000133216",344.056124155505,-1.74185448653556,0.162636576807438,3.7889496034597e-28,4.80129289891929e-26,"EPHB2","2048"
"ENSG00000096060",2564.36222687268,3.96980673654461,0.382810053652593,7.13222000392771e-28,8.97462704550177e-26,"FKBP5","2289"
"ENSG00000092621",1231.10242762368,-1.40265916296456,0.131964691877783,9.16593086322725e-28,1.14535944411744e-25,"PHGDH","26227"
"ENSG00000187498",2283.83180964209,1.2949846434985,0.121713109480148,1.0175755398756e-27,1.2627761561739e-25,"COL4A1","1282"
"ENSG00000166482",26348.2769204739,-0.953949826777731,0.0892333119120778,1.0446479723203e-27,1.28749285026928e-25,"MFAP4","4239"
"ENSG00000123243",13780.7294600191,-0.941268195184328,0.0884608228556478,1.74622446862842e-27,2.12416683615378e-25,"ITIH5","80760"
"ENSG00000163491",160.225059048447,-2.45354558849616,0.232622705690402,1.7471195495763e-27,2.12416683615378e-25,"NEK10","152110"
"ENSG00000165507",18353.5745925703,1.52928389152699,0.145530650572414,2.70740743799483e-27,3.26960331807241e-25,"DEPP1","11067"
"ENSG00000183160",2987.67071981722,-1.15503907233473,0.10933240067278,2.90996784849313e-27,3.49079743105236e-25,"TMEM119","338773"
"ENSG00000233117",77.6318352361788,3.33098155889024,0.317132661269638,4.48599592662832e-27,5.34576229826159e-25,NA,NA
"ENSG00000127083",304.476810780945,1.78299626120263,0.170224341977898,5.0828381381766e-27,6.01714404331248e-25,"OMD","4958"
"ENSG00000177666",1701.23387978068,1.08406976906488,0.103120093377441,6.57403917989244e-27,7.73158568646958e-25,"PNPLA2","57104"
"ENSG00000069431",849.101371746355,1.04135703310871,0.0992300480630702,8.92551441992896e-27,1.04289419787144e-24,"ABCC9","10060"
"ENSG00000131386",11496.4862074381,1.58858894871539,0.153367409943738,1.04479342051362e-26,1.21290405217562e-24,"GALNT15","117248"
"ENSG00000102466",664.683572935525,1.19800661114848,0.114653469318874,1.09391100021561e-26,1.2617842652487e-24,"FGF14","2259"
"ENSG00000162496",3691.99970068906,1.07120543402162,0.10243636655403,1.14403126868047e-26,1.31119099672844e-24,"DHRS3","9249"
"ENSG00000180914",568.703497425714,1.84373431251851,0.178090151347073,1.71894824377216e-26,1.95764270243267e-24,"OXTR","5021"
"ENSG00000177674",751.373295308449,1.09729102972065,0.105398377784098,1.85325803009799e-26,2.09732861594863e-24,"AGTRAP","57085"
"ENSG00000099204",848.585060946676,1.40366530472218,0.136142678518934,3.16076738641444e-26,3.55467802194634e-24,"ABLIM1","3983"
"ENSG00000197043",14120.9989647215,0.912059119881695,0.087625121580154,3.7520778017303e-26,4.19347130213261e-24,"ANXA6","309"
"ENSG00000127954",286.384119280247,5.1128079854203,0.508273572484267,4.54630170772602e-26,5.04976252647049e-24,"STEAP4","79689"
"ENSG00000148120",743.999875010981,1.08691358470536,0.105575629918497,6.66613740296971e-26,7.35892493429674e-24,"AOPEP","84909"
"ENSG00000169738",627.449246972015,2.0606084628867,0.203858429397452,7.37368662173088e-26,8.09037299216009e-24,"DCXR","51181"
"ENSG00000126878",93.2605268616648,-2.6197839868848,0.255903635646245,7.99635160712245e-26,8.72038489809463e-24,"AIF1L","83543"
"ENSG00000112773",516.800784800124,-1.17881586868174,0.114839024791481,8.25894257405845e-26,8.95249473961492e-24,"TENT5A","55603"
"ENSG00000091527",4870.59143202752,0.755236083160556,0.0733488670335554,1.12955149395947e-25,1.21707482528783e-23,"CDV3","55573"
"ENSG00000035664",633.042902717231,1.65430113229801,0.163465945233575,1.49393354178777e-25,1.60010953279341e-23,"DAPK2","23604"
"ENSG00000023909",1927.71101011188,1.2017422269958,0.118080039819956,1.63680477657003e-25,1.74276125145568e-23,"GCLM","2730"
"ENSG00000125848",178.654450436053,-2.43565213410822,0.242906754092249,1.8712422537417e-25,1.98065488904871e-23,"FLRT3","23767"
"ENSG00000131446",5362.00674215496,0.853247165778299,0.0836660907348093,2.55919252678727e-25,2.69298890801229e-23,"MGAT1","4245"
"ENSG00000138073",1697.49198137076,1.08397462496501,0.106779173570367,2.72762266170378e-25,2.85353733573824e-23,"PREB","10113"
"ENSG00000110900",262.805275325959,-1.43964496253134,0.142068979230524,2.8912543078008e-25,3.00723872916575e-23,"TSPAN11","441631"
"ENSG00000164742",353.799478277241,-2.54000497767946,0.256131543675701,2.93411420436215e-25,3.03427879271796e-23,"ADCY1","107"
"ENSG00000163697",2266.27450187641,1.06293429907438,0.104830907985606,3.02046517923955e-25,3.10572859629923e-23,"APBB2","323"
"ENSG00000174136",2831.70301250684,-0.955080260043973,0.0943046192935088,4.36586449753698e-25,4.46360032776593e-23,"RGMB","285704"
"ENSG00000120837",1841.38811314411,1.02081693844084,0.100795773512259,4.52123038631164e-25,4.59632878933851e-23,"NFYB","4801"
"ENSG00000164292",14399.5505965512,1.03763480237693,0.102053877743627,5.33748822899018e-25,5.39566085350839e-23,"RHOBTB3","22836"
"ENSG00000132356",2383.87708318029,0.854358745616066,0.0846517365970765,7.17362891866352e-25,7.21130048952131e-23,"PRKAA1","5562"
"ENSG00000152580",5992.50455672065,-1.13617246650834,0.113463024198737,8.87367332873169e-25,8.87071543762211e-23,"IGSF10","285313"
"ENSG00000183044",498.690421563468,1.13749271106066,0.113396128440612,9.70016533363821e-25,9.64335773555171e-23,"ABAT","18"
"ENSG00000013297",3431.57264316715,-1.74195700026005,0.176485080206092,1.10740999340583e-24,1.09487557260135e-22,"CLDN11","5010"
"ENSG00000172061",231.277302725498,-2.5065011333841,0.254730511372514,1.1397810563598e-24,1.12072242230263e-22,"LRRC15","131578"
"ENSG00000102554",149.552913663167,2.435233575903,0.245796119770631,1.24782854587254e-24,1.22029493774079e-22,"KLF5","688"
"ENSG00000173221",1983.22155774674,0.989659977197142,0.0988260932179083,1.47200573831848e-24,1.43174439217853e-22,"GLRX","2745"
"ENSG00000099194",785.211998028092,-1.95374345033783,0.199239858381721,1.50495913632433e-24,1.45592659672151e-22,"SCD","6319"
"ENSG00000164070",591.684378009254,-1.29849024591501,0.130784906141298,1.85911368671265e-24,1.78892468870093e-22,"HSPA4L","22824"
"ENSG00000152601",5822.54908478731,0.850487529516235,0.0852619016867784,2.84337725249765e-24,2.72147501497035e-22,"MBNL1","4154"
"ENSG00000008311",721.942089206498,1.07721299341178,0.108672847361913,3.25687517026389e-24,3.10075194781632e-22,"AASS","10157"
"ENSG00000237697",126.794572516762,1.98631182056344,0.201491210739036,3.98660091696834e-24,3.77552088946991e-22,NA,NA
"ENSG00000126950",786.116082755273,-1.67461806326215,0.171484633178954,4.55897306481286e-24,4.29498226849438e-22,"TMEM35A","59353"
"ENSG00000173068",2793.38464596547,-0.855525385533986,0.0864206182232142,5.27428203416971e-24,4.94299119389843e-22,"BNC2","54796"
"ENSG00000170624",2121.08039267073,-1.11703780216098,0.113619422091357,5.76905951430977e-24,5.37867652334145e-22,"SGCD","6444"
"ENSG00000088756",685.723239064796,-1.61749540405994,0.165955591800793,6.74925919870067e-24,6.26011185677422e-22,"ARHGAP28","79822"
"ENSG00000103502",3319.86908904901,0.814216601585816,0.0822654516353617,9.35351478501439e-24,8.63113564315635e-22,"CDIPT","10423"
"ENSG00000177614",133.150339732154,-2.51837215180624,0.260567732724167,9.77164798723912e-24,8.97097111644799e-22,"PGBD5","79605"
"ENSG00000118689",5165.48667934315,1.23767725501295,0.127110841912306,1.17256041037373e-23,1.07101786925203e-21,"FOXO3","2309"
"ENSG00000164484",816.794097566618,-1.18458104996718,0.121527190228871,1.33220420247005e-23,1.21069103127506e-21,"TMEM200A","114801"
"ENSG00000128510",164.045430457896,-2.2158636397712,0.228824110431052,1.46025088227129e-23,1.32038966711506e-21,"CPA4","51200"
"ENSG00000181061",2420.90428250501,1.17924200366498,0.121354708966731,1.65448853562675e-23,1.48854333550339e-21,"HIGD1A","25994"
"ENSG00000198431",22734.553343842,1.46995728477001,0.152703506766359,1.78902230564809e-23,1.60157549093691e-21,"TXNRD1","7296"
"ENSG00000081052",207.134642684968,1.87492278471128,0.193889301544859,1.89524816722386e-23,1.68827205549634e-21,"COL4A4","1286"
"ENSG00000173517",7990.51234665395,0.971677620034347,0.100104692529186,2.31871838306877e-23,2.05532111255859e-21,"PEAK1","79834"
"ENSG00000113580",2811.33538556594,-0.962165300796106,0.0993230817455627,2.55223241799385e-23,2.25121912398928e-21,"NR3C1","2908"
"ENSG00000132970",1322.81532016482,1.08872062239609,0.112297314617047,2.6018617960473e-23,2.28380005649147e-21,"WASF3","10810"
"ENSG00000127824",228.718631937045,-1.53079829776789,0.158583627917839,2.81837810857592e-23,2.46183959639394e-21,"TUBA4A","7277"
"ENSG00000179820",3784.35383489187,1.46808389187247,0.153419409357348,3.36810742763773e-23,2.92781280448856e-21,"MYADM","91663"
"ENSG00000136436",3129.16074209745,1.11463585551191,0.115645599528407,3.70880103013536e-23,3.20846950655075e-21,"CALCOCO2","10241"
